Group,Autre contexte,Fonte des neiges,Pluie,Réalisation de travaux planifiès,Temps sec,Urgence
2017-01,4300,5218,132727,116,0,64668
2017-02,,488338,1478899,4984,53,97600
2017-03,,1625332,599651,212,1150,737345
2017-04,,1551025,4148806,296,2,3035445
2017-05,,82060,542885,9987,88426,2392333
2017-06,,0,1219056,506,10510,1123964
2017-07,,0,434329,9019,11758,639541
2017-08,,20,665515,4997,8995,53800
2017-09,,,201307,7530,10858,13362
2017-10,,,1403530,11147,80771,126259
2017-11,,1622,1313618,27963,82048,85278
2017-12,,1812,119989,27276,16492,19350
2018-01,,132139,1519174,90,25405,22356
2018-02,,521272,439752,41268,14888,14574
2018-03,,451946,505324,8521,35,43753
2018-04,,1137021,2663335,1681,4648,25778
2018-05,,221120,588183,42844,56976,89907
2018-06,,2,289308,4746,43933,71278
2018-07,,,625760,12,22019,110697
2018-08,,,413856,13159,12598,57309
2018-09,,,757702,5918,354,42159
2018-10,,0,506915,421,2452,48390
2018-11,,9597,821705,56556,2422,64686
2018-12,,31834,2129959,7804,9592,191293
2019-01,,6236,378793,0,962,22085
2019-02,,38281,76485,9211,6636,11272
2019-03,,1049581,1128737,3,4257,122823
2019-04,,23603102,26446699,2881,0,263529
2019-05,,595040,2176236,24905,8393,357966
2019-06,,0,727541,7885,10497,128898
2019-07,,,15422,0,180,1627
(blank),,,,,,
