Classification,Type de traitement,Avg Vol Debordement
Autres,Bionest,
Autres,Biotour,
Autres,Filtre à  tourbe,
Autres,Filtre à  tourbe Ecoflo,1
Autres,Filtres à  sable intermittents enfouis,0
Autres,Filtres intermittents à  recirculation,
Autres,Filtres intermittents à  recirculation avec infiltration,
Autres,Fossés à  infiltration rapide,
Autres,Marais artificiel (roseaux),
Autres,Réacteur biologique à  garnissage en suspension,187.6
Autres,Réacteur biologique à  garnissage en suspension de type SMBR,155.48
Autres,Réacteur biologique membranaire,
Autres,Segflo et filtre Ecoflex,
Biofiltration,Biofiltration,9206.577608
Boues activées,Boues activées,13115.68772
Boues activées,Boues activées à  aération prolongée,2045.126984
Boues activées,Boues activées à  fossé d'oxydation,5716.543726
Boues activées,Boues activées à  réacteur biologique séquentiel,520.7958115
Boues activées,Boues activées avec mesure de débit à  l'effluent,
Dégrillage,Dégrilleur fin,625.4807692
Disques biologiques,Disques biologiques,177.5
Disques biologiques,Disques biologiques à  réacteur biologique rotatif,510
Disques biologiques,Disques biologiques Rotofix,
Disques biologiques,Disques biologiques Rotolyne,
Étangs aérés,Étangs aérés,2519.720756
Étangs aérés,Étangs aérés à  parois verticales,224.5294118
Étangs aérés,Étangs aérés à  réacteur biologique avec lit en mouvement,2303.45
Étangs aérés,Étangs aérés avec bassin complètement mélangé,245.7333333
Étangs aérés,Étangs aérés avec infiltration,
Étangs aérés à  rétention réduite,Étangs aérés à  rétention réduite,92.22222222
Étangs aérés à  rétention réduite,Étangs aérés à  rétention réduite à  parois verticales,145.6231884
Étangs non aérés,Étangs non aérés à  décharge en continu,
Étangs non aérés,Étangs non aérés à  vidange périodique,185.3333333
Étangs non aérés,Étangs non aérés avec mesure de débit à  l'effluent,
Étangs non aérés,Étangs non aérés et filtre,357.8235294
Fosse septique,Fosse septique,134.6296296
Physico-chimique,Physico-chimique,2910.386737
